t=2026-07-23T15:47:01+0300 lvl=info msg="no configuration paths supplied"
t=2026-07-23T15:47:01+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-23T15:47:01+0300 lvl=info msg="open config file" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-23T15:47:01+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-23T15:47:01+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-23T15:47:04+0300 lvl=info msg=start pg=/api/tunnels id=f52c7deff4336756
t=2026-07-23T15:47:04+0300 lvl=info msg=end pg=/api/tunnels id=f52c7deff4336756 status=200 dur=1.041ms
t=2026-07-23T15:47:06+0300 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": context deadline exceeded"
t=2026-07-23T15:47:12+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-23T15:47:12+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-23T15:49:54+0300 lvl=info msg="join connections" obj=join id=a722eca8c9f0 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:55+0300 lvl=info msg="join connections" obj=join id=115d1ab251bf l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:55+0300 lvl=info msg="join connections" obj=join id=2367baaf229c l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:55+0300 lvl=info msg="join connections" obj=join id=64a4302d3feb l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=522eec913b5d l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=64802378f459 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=d38e053e411d l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=ec7f6fccdfde l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=7e7c664d5779 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=ff5b13abb491 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=165d11384321 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=0f0800ac0c51 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=9c323f8462d3 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=5142788689c0 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=162f74d7be33 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=b13398dcf8e8 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=d282d5f9cb9c l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=fb8cd5bae517 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=1fb1fb99f9fa l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=d95838023a34 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=b124cd37e169 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:56+0300 lvl=info msg="join connections" obj=join id=7d8fa4814807 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:50:00+0300 lvl=info msg="join connections" obj=join id=c97c25783923 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:00+0300 lvl=info msg="join connections" obj=join id=6a8a10917ca2 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:00+0300 lvl=info msg="join connections" obj=join id=195dd11c7d4e l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:00+0300 lvl=info msg="join connections" obj=join id=c0bb2ca033d8 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:00+0300 lvl=info msg="join connections" obj=join id=06d7b361e299 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:00+0300 lvl=info msg="join connections" obj=join id=49ae3a730c0b l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:01+0300 lvl=info msg="join connections" obj=join id=7ca34910a611 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=c2518f2ede52 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=253553419176 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=432fc16b03c7 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=f0f44b63ffe8 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=0f82e4171615 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=23dd6b75d9f8 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=a7857db5be65 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=5d8c1ff97051 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=e7a57148df02 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=879f419a7ac7 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=5fb57aef38d7 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=418e42158838 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=2b07e5d255dd l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:02+0300 lvl=info msg="join connections" obj=join id=eaed2ac6950a l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:03+0300 lvl=info msg="join connections" obj=join id=3f386b938582 l=127.0.0.1:8000 r=105.164.100.191:1968
t=2026-07-23T15:50:06+0300 lvl=info msg="join connections" obj=join id=c21022aa5506 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=53bbd2d00da3 l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=e08769edc14e l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=c092919b30db l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=5873746609dc l=127.0.0.1:8000 r=102.203.137.236:59836
t=2026-07-23T15:50:08+0300 lvl=info msg="join connections" obj=join id=5080bf196d1c l=127.0.0.1:8000 r=102.203.137.236:59836
